"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
1.012 nsec,-5.431 fV
1.017 nsec,-6.212 fV
1.022 nsec,-6.536 fV
1.027 nsec,-6.195 fV
1.032 nsec,-6.284 fV
1.037 nsec,-6.614 fV
1.042 nsec,-6.656 fV
1.047 nsec,-6.864 fV
1.052 nsec,-7.282 fV
1.057 nsec,-7.258 fV
1.062 nsec,-7.184 fV
1.067 nsec,-6.884 fV
1.072 nsec,-6.988 fV
1.077 nsec,-7.514 fV
1.082 nsec,-8.381 fV
1.087 nsec,-9.550 fV
1.092 nsec,-10.36 fV
1.097 nsec,-10.51 fV
1.100 nsec,-10.54 fV
1.101 nsec,-10.60 fV
1.102 nsec,-10.77 fV
1.107 nsec,-10.87 fV
1.112 nsec,-10.44 fV
1.117 nsec,-10.85 fV
1.122 nsec,-12.52 fV
1.127 nsec,-14.20 fV
1.132 nsec,-14.90 fV
1.137 nsec,-14.88 fV
1.142 nsec,-15.09 fV
1.147 nsec,-15.60 fV
1.152 nsec,-15.71 fV
1.157 nsec,-15.53 fV
1.162 nsec,-15.15 fV
1.167 nsec,-14.35 fV
1.172 nsec,-13.79 fV
1.177 nsec,-13.21 fV
1.182 nsec,-12.34 fV
1.187 nsec,-11.44 fV
1.192 nsec,-10.46 fV
1.197 nsec,-9.677 fV
1.202 nsec,-9.491 fV
1.207 nsec,-8.951 fV
1.212 nsec,-8.470 fV
1.217 nsec,-8.588 fV
1.222 nsec,-8.743 fV
1.227 nsec,-8.347 fV
1.232 nsec,-7.678 fV
1.237 nsec,-6.855 fV
1.242 nsec,-5.617 fV
1.247 nsec,-4.323 fV
1.252 nsec,-3.105 fV
1.257 nsec,-1.683 fV
1.262 nsec,-386.0 aV
1.267 nsec,568.4 aV
1.272 nsec,1.194 fV
1.277 nsec,2.046 fV
1.282 nsec,2.645 fV
1.287 nsec,2.790 fV
1.292 nsec,2.554 fV
1.297 nsec,2.326 fV
1.302 nsec,1.615 fV
1.307 nsec,512.8 aV
1.312 nsec,-172.9 aV
1.317 nsec,-1.085 fV
1.322 nsec,-1.835 fV
1.327 nsec,-2.710 fV
1.332 nsec,-3.747 fV
1.337 nsec,-4.407 fV
1.342 nsec,-5.076 fV
1.347 nsec,-6.101 fV
1.352 nsec,-7.067 fV
1.357 nsec,-8.305 fV
1.362 nsec,-10.03 fV
1.367 nsec,-11.61 fV
1.372 nsec,-12.81 fV
1.377 nsec,-13.79 fV
1.382 nsec,-14.74 fV
1.387 nsec,-16.10 fV
1.392 nsec,-17.20 fV
1.397 nsec,-17.66 fV
1.402 nsec,-17.88 fV
1.407 nsec,-17.72 fV
1.412 nsec,-17.99 fV
1.417 nsec,-19.19 fV
1.422 nsec,-20.20 fV
1.427 nsec,-20.34 fV
1.432 nsec,-19.90 fV
1.437 nsec,-19.15 fV
1.442 nsec,-17.93 fV
1.447 nsec,-16.78 fV
1.452 nsec,-15.79 fV
1.457 nsec,-14.90 fV
1.462 nsec,-13.67 fV
1.467 nsec,-12.45 fV
1.472 nsec,-11.79 fV
1.477 nsec,-11.34 fV
1.482 nsec,-10.73 fV
1.487 nsec,-9.292 fV
1.492 nsec,-7.266 fV
1.497 nsec,-5.196 fV
1.502 nsec,-4.068 fV
1.507 nsec,-3.299 fV
1.512 nsec,-2.255 fV
1.517 nsec,-1.192 fV
1.522 nsec,-644.5 aV
1.527 nsec,-401.5 aV
1.532 nsec,81.04 aV
1.537 nsec,421.1 aV
1.542 nsec,753.4 aV
1.547 nsec,921.8 aV
1.552 nsec,1.035 fV
1.557 nsec,1.135 fV
1.562 nsec,1.267 fV
1.567 nsec,1.762 fV
1.572 nsec,2.632 fV
1.577 nsec,2.989 fV
1.582 nsec,2.482 fV
1.587 nsec,2.351 fV
1.592 nsec,2.643 fV
1.597 nsec,2.987 fV
1.602 nsec,3.009 fV
1.607 nsec,2.721 fV
1.612 nsec,2.711 fV
1.617 nsec,2.567 fV
1.622 nsec,1.863 fV
1.627 nsec,1.094 fV
1.632 nsec,34.21 aV
1.637 nsec,-1.497 fV
1.642 nsec,-2.910 fV
1.647 nsec,-3.801 fV
1.652 nsec,-4.590 fV
1.657 nsec,-5.508 fV
1.662 nsec,-6.386 fV
1.667 nsec,-7.177 fV
1.672 nsec,-8.167 fV
1.677 nsec,-9.509 fV
1.682 nsec,-10.73 fV
1.687 nsec,-11.81 fV
1.692 nsec,-13.19 fV
1.697 nsec,-14.71 fV
1.702 nsec,-15.89 fV
1.707 nsec,-16.52 fV
1.712 nsec,-16.77 fV
1.717 nsec,-16.17 fV
1.722 nsec,-15.15 fV
1.727 nsec,-14.24 fV
1.732 nsec,-13.66 fV
1.737 nsec,-13.03 fV
1.742 nsec,-12.20 fV
1.747 nsec,-11.23 fV
1.752 nsec,-10.06 fV
1.757 nsec,-8.523 fV
1.762 nsec,-7.367 fV
1.767 nsec,-6.270 fV
1.772 nsec,-4.622 fV
1.777 nsec,-2.886 fV
1.782 nsec,-1.757 fV
1.787 nsec,-1.047 fV
1.792 nsec,283.0 aV
1.797 nsec,2.415 fV
1.802 nsec,4.117 fV
1.807 nsec,5.187 fV
1.812 nsec,6.251 fV
1.817 nsec,7.308 fV
