"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.066 GHz,-52.481
1.067 GHz,-52.492
1.067 GHz,-52.503
1.067 GHz,-52.514
1.067 GHz,-52.525
1.068 GHz,-52.536
1.068 GHz,-52.547
1.068 GHz,-52.557
1.069 GHz,-52.568
1.069 GHz,-52.579
1.069 GHz,-52.590
1.069 GHz,-52.601
1.070 GHz,-52.612
1.070 GHz,-52.623
1.070 GHz,-52.636
1.071 GHz,-52.649
1.071 GHz,-52.662
1.071 GHz,-52.675
1.071 GHz,-52.687
1.072 GHz,-52.700
1.072 GHz,-52.713
1.072 GHz,-52.726
1.073 GHz,-52.739
1.073 GHz,-52.752
1.073 GHz,-52.764
1.073 GHz,-52.777
1.074 GHz,-52.790
1.074 GHz,-52.803
1.074 GHz,-52.816
1.075 GHz,-52.828
1.075 GHz,-52.841
1.075 GHz,-52.854
1.075 GHz,-52.867
1.076 GHz,-52.880
1.076 GHz,-52.893
1.076 GHz,-52.905
1.077 GHz,-52.918
1.077 GHz,-52.931
1.077 GHz,-52.944
1.077 GHz,-52.957
1.078 GHz,-52.970
1.078 GHz,-52.982
1.078 GHz,-52.995
1.078 GHz,-53.008
1.079 GHz,-53.021
1.079 GHz,-53.034
1.079 GHz,-53.046
1.080 GHz,-53.059
1.080 GHz,-53.072
1.080 GHz,-53.085
1.080 GHz,-53.099
1.081 GHz,-53.113
1.081 GHz,-53.127
1.081 GHz,-53.141
1.082 GHz,-53.154
1.082 GHz,-53.168
1.082 GHz,-53.182
1.082 GHz,-53.196
1.083 GHz,-53.210
1.083 GHz,-53.223
1.083 GHz,-53.237
1.084 GHz,-53.251
1.084 GHz,-53.265
1.084 GHz,-53.278
1.084 GHz,-53.292
1.085 GHz,-53.306
1.085 GHz,-53.320
1.085 GHz,-53.334
1.085 GHz,-53.347
1.086 GHz,-53.361
