"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.066 GHz,-52.003
1.067 GHz,-52.015
1.067 GHz,-52.026
1.067 GHz,-52.038
1.067 GHz,-52.049
1.068 GHz,-52.061
1.068 GHz,-52.072
1.068 GHz,-52.084
1.069 GHz,-52.095
1.069 GHz,-52.107
1.069 GHz,-52.118
1.069 GHz,-52.129
1.070 GHz,-52.141
1.070 GHz,-52.153
1.070 GHz,-52.166
1.071 GHz,-52.179
1.071 GHz,-52.193
1.071 GHz,-52.206
1.071 GHz,-52.220
1.072 GHz,-52.233
1.072 GHz,-52.246
1.072 GHz,-52.260
1.073 GHz,-52.273
1.073 GHz,-52.286
1.073 GHz,-52.300
1.073 GHz,-52.313
1.074 GHz,-52.326
1.074 GHz,-52.340
1.074 GHz,-52.353
1.075 GHz,-52.367
1.075 GHz,-52.380
1.075 GHz,-52.393
1.075 GHz,-52.407
1.076 GHz,-52.420
1.076 GHz,-52.433
1.076 GHz,-52.447
1.077 GHz,-52.460
1.077 GHz,-52.474
1.077 GHz,-52.487
1.077 GHz,-52.500
1.078 GHz,-52.514
1.078 GHz,-52.527
1.078 GHz,-52.540
1.078 GHz,-52.554
1.079 GHz,-52.567
1.079 GHz,-52.580
1.079 GHz,-52.594
1.080 GHz,-52.607
1.080 GHz,-52.621
1.080 GHz,-52.634
1.080 GHz,-52.649
1.081 GHz,-52.663
1.081 GHz,-52.677
1.081 GHz,-52.692
1.082 GHz,-52.706
1.082 GHz,-52.720
1.082 GHz,-52.735
1.082 GHz,-52.749
1.083 GHz,-52.763
1.083 GHz,-52.778
1.083 GHz,-52.792
1.084 GHz,-52.806
1.084 GHz,-52.821
1.084 GHz,-52.835
1.084 GHz,-52.849
1.085 GHz,-52.864
1.085 GHz,-52.878
1.085 GHz,-52.892
1.085 GHz,-52.907
1.086 GHz,-52.921
1.086 GHz,-52.935
1.086 GHz,-52.950
1.087 GHz,-52.964
1.087 GHz,-52.978
1.087 GHz,-52.993
1.087 GHz,-53.007
1.088 GHz,-53.021
1.088 GHz,-53.036
1.088 GHz,-53.050
1.089 GHz,-53.064
1.089 GHz,-53.079
1.089 GHz,-53.093
1.089 GHz,-53.107
1.090 GHz,-53.121
1.090 GHz,-53.136
1.090 GHz,-53.149
1.091 GHz,-53.162
1.091 GHz,-53.175
1.091 GHz,-53.189
1.091 GHz,-53.202
1.092 GHz,-53.215
1.092 GHz,-53.228
1.092 GHz,-53.241
1.093 GHz,-53.255
1.093 GHz,-53.268
1.093 GHz,-53.281
1.093 GHz,-53.294
1.094 GHz,-53.307
1.094 GHz,-53.321
1.094 GHz,-53.334
1.095 GHz,-53.347
1.095 GHz,-53.360
1.095 GHz,-53.373
1.095 GHz,-53.387
1.096 GHz,-53.400
1.096 GHz,-53.413
1.096 GHz,-53.426
1.096 GHz,-53.439
1.097 GHz,-53.453
1.097 GHz,-53.466
1.097 GHz,-53.479
1.098 GHz,-53.492
1.098 GHz,-53.505
1.098 GHz,-53.519
1.098 GHz,-53.532
1.099 GHz,-53.545
1.099 GHz,-53.558
1.099 GHz,-53.571
1.100 GHz,-53.585
1.100 GHz,-53.598
1.100 GHz,-53.611
1.100 GHz,-53.623
1.101 GHz,-53.635
1.101 GHz,-53.647
1.101 GHz,-53.659
1.102 GHz,-53.672
1.102 GHz,-53.684
1.102 GHz,-53.696
1.102 GHz,-53.708
1.103 GHz,-53.721
1.103 GHz,-53.733
1.103 GHz,-53.745
1.103 GHz,-53.757
1.104 GHz,-53.769
1.104 GHz,-53.782
1.104 GHz,-53.794
1.105 GHz,-53.806
1.105 GHz,-53.818
1.105 GHz,-53.831
1.105 GHz,-53.843
1.106 GHz,-53.855
1.106 GHz,-53.867
1.106 GHz,-53.879
1.107 GHz,-53.892
1.107 GHz,-53.904
1.107 GHz,-53.916
1.107 GHz,-53.928
1.108 GHz,-53.940
1.108 GHz,-53.953
1.108 GHz,-53.965
1.109 GHz,-53.977
1.109 GHz,-53.989
1.109 GHz,-54.002
1.109 GHz,-54.014
1.110 GHz,-54.026
1.110 GHz,-54.038
1.110 GHz,-54.050
1.111 GHz,-54.061
1.111 GHz,-54.073
1.111 GHz,-54.085
1.111 GHz,-54.096
1.112 GHz,-54.108
1.112 GHz,-54.119
1.112 GHz,-54.131
1.113 GHz,-54.143
1.113 GHz,-54.154
1.113 GHz,-54.166
1.113 GHz,-54.177
1.114 GHz,-54.189
1.114 GHz,-54.200
1.114 GHz,-54.212
1.114 GHz,-54.224
1.115 GHz,-54.235
1.115 GHz,-54.247
1.115 GHz,-54.258
1.116 GHz,-54.270
1.116 GHz,-54.282
1.116 GHz,-54.293
1.116 GHz,-54.305
1.117 GHz,-54.316
1.117 GHz,-54.328
1.117 GHz,-54.339
1.118 GHz,-54.351
1.118 GHz,-54.363
1.118 GHz,-54.374
1.118 GHz,-54.386
1.119 GHz,-54.397
1.119 GHz,-54.409
1.119 GHz,-54.420
1.120 GHz,-54.432
1.120 GHz,-54.444
1.120 GHz,-54.457
1.120 GHz,-54.473
1.121 GHz,-54.489
1.121 GHz,-54.505
1.121 GHz,-54.521
1.121 GHz,-54.537
1.122 GHz,-54.553
1.122 GHz,-54.569
1.122 GHz,-54.586
1.123 GHz,-54.602
1.123 GHz,-54.618
1.123 GHz,-54.634
1.123 GHz,-54.650
1.124 GHz,-54.666
1.124 GHz,-54.682
1.124 GHz,-54.698
1.125 GHz,-54.714
1.125 GHz,-54.730
1.125 GHz,-54.747
1.125 GHz,-54.763
1.126 GHz,-54.779
1.126 GHz,-54.795
1.126 GHz,-54.811
1.127 GHz,-54.827
1.127 GHz,-54.843
1.127 GHz,-54.859
1.127 GHz,-54.875
1.128 GHz,-54.891
1.128 GHz,-54.908
1.128 GHz,-54.924
1.129 GHz,-54.940
1.129 GHz,-54.956
1.129 GHz,-54.972
1.129 GHz,-54.988
1.130 GHz,-55.004
1.130 GHz,-55.020
1.130 GHz,-55.034
1.131 GHz,-55.048
1.131 GHz,-55.062
1.131 GHz,-55.076
1.131 GHz,-55.089
1.132 GHz,-55.103
1.132 GHz,-55.117
1.132 GHz,-55.131
1.132 GHz,-55.144
1.133 GHz,-55.158
1.133 GHz,-55.172
1.133 GHz,-55.186
1.134 GHz,-55.199
1.134 GHz,-55.213
1.134 GHz,-55.227
1.134 GHz,-55.240
1.135 GHz,-55.254
1.135 GHz,-55.268
1.135 GHz,-55.282
1.136 GHz,-55.295
1.136 GHz,-55.309
1.136 GHz,-55.323
1.136 GHz,-55.337
1.137 GHz,-55.350
1.137 GHz,-55.364
1.137 GHz,-55.378
1.138 GHz,-55.392
1.138 GHz,-55.405
1.138 GHz,-55.419
1.138 GHz,-55.433
1.139 GHz,-55.446
1.139 GHz,-55.460
1.139 GHz,-55.474
1.139 GHz,-55.488
1.140 GHz,-55.501
1.140 GHz,-55.515
1.140 GHz,-55.527
1.141 GHz,-55.540
1.141 GHz,-55.552
1.141 GHz,-55.564
1.141 GHz,-55.577
1.142 GHz,-55.589
1.142 GHz,-55.601
1.142 GHz,-55.614
1.143 GHz,-55.626
1.143 GHz,-55.638
1.143 GHz,-55.651
1.143 GHz,-55.663
1.144 GHz,-55.676
1.144 GHz,-55.688
1.144 GHz,-55.700
1.145 GHz,-55.713
1.145 GHz,-55.725
1.145 GHz,-55.737
1.145 GHz,-55.750
1.146 GHz,-55.762
1.146 GHz,-55.775
1.146 GHz,-55.787
1.147 GHz,-55.799
1.147 GHz,-55.812
1.147 GHz,-55.824
1.147 GHz,-55.836
1.148 GHz,-55.849
1.148 GHz,-55.861
1.148 GHz,-55.873
1.149 GHz,-55.886
1.149 GHz,-55.898
1.149 GHz,-55.911
1.149 GHz,-55.923
1.150 GHz,-55.935
1.150 GHz,-55.948
1.150 GHz,-55.961
1.150 GHz,-55.976
1.151 GHz,-55.990
1.151 GHz,-56.004
1.151 GHz,-56.018
1.152 GHz,-56.033
1.152 GHz,-56.047
1.152 GHz,-56.061
1.152 GHz,-56.076
1.153 GHz,-56.090
1.153 GHz,-56.104
1.153 GHz,-56.119
