"indep(__d, 1)
References : ['plot_vs(pnmx, noisefreq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(pnmx, noisefreq)
References : []
Dependency : []
Num. Points : [601]
Matrix Size : scalar
Type : Real"
257.0  Hz,-52.736
263.0  Hz,-53.034
269.2  Hz,-53.332
275.4  Hz,-53.630
281.8  Hz,-53.928
288.4  Hz,-54.225
295.1  Hz,-54.523
302.0  Hz,-54.821
309.0  Hz,-55.118
316.2  Hz,-55.416
323.6  Hz,-55.713
331.1  Hz,-56.010
338.8  Hz,-56.308
346.7  Hz,-56.605
354.8  Hz,-56.902
363.1  Hz,-57.199
371.5  Hz,-57.496
380.2  Hz,-57.793
389.0  Hz,-58.090
398.1  Hz,-58.387
407.4  Hz,-58.683
416.9  Hz,-58.980
426.6  Hz,-59.277
436.5  Hz,-59.573
446.7  Hz,-59.870
457.1  Hz,-60.166
467.7  Hz,-60.462
478.6  Hz,-60.758
489.8  Hz,-61.054
501.2  Hz,-61.350
512.9  Hz,-61.646
524.8  Hz,-61.942
537.0  Hz,-62.238
549.5  Hz,-62.533
562.3  Hz,-62.829
575.4  Hz,-63.124
588.8  Hz,-63.420
602.6  Hz,-63.715
616.6  Hz,-64.010
631.0  Hz,-64.305
645.7  Hz,-64.600
660.7  Hz,-64.894
676.1  Hz,-65.189
691.8  Hz,-65.484
707.9  Hz,-65.778
724.4  Hz,-66.072
741.3  Hz,-66.366
758.6  Hz,-66.660
776.2  Hz,-66.954
794.3  Hz,-67.248
812.8  Hz,-67.542
831.8  Hz,-67.835
851.1  Hz,-68.129
871.0  Hz,-68.422
891.3  Hz,-68.715
912.0  Hz,-69.008
933.3  Hz,-69.300
955.0  Hz,-69.593
977.2  Hz,-69.885
1.000 kHz,-70.178
1.023 kHz,-70.470
1.047 kHz,-70.762
1.072 kHz,-71.053
1.096 kHz,-71.345
1.122 kHz,-71.636
1.148 kHz,-71.928
1.175 kHz,-72.219
1.202 kHz,-72.509
1.230 kHz,-72.800
1.259 kHz,-73.090
1.288 kHz,-73.381
1.318 kHz,-73.671
1.349 kHz,-73.961
1.380 kHz,-74.250
1.413 kHz,-74.540
1.445 kHz,-74.829
1.479 kHz,-75.118
1.514 kHz,-75.406
1.549 kHz,-75.695
1.585 kHz,-75.983
1.622 kHz,-76.271
1.660 kHz,-76.559
1.698 kHz,-76.846
1.738 kHz,-77.134
1.778 kHz,-77.421
1.820 kHz,-77.707
1.862 kHz,-77.994
1.905 kHz,-78.280
1.950 kHz,-78.566
1.995 kHz,-78.852
2.042 kHz,-79.137
2.089 kHz,-79.422
2.138 kHz,-79.707
2.188 kHz,-79.991
2.239 kHz,-80.275
2.291 kHz,-80.559
2.344 kHz,-80.843
2.399 kHz,-81.126
2.455 kHz,-81.409
2.512 kHz,-81.691
2.570 kHz,-81.974
2.630 kHz,-82.256
2.692 kHz,-82.537
2.754 kHz,-82.818
2.818 kHz,-83.099
2.884 kHz,-83.380
2.951 kHz,-83.660
3.020 kHz,-83.940
3.090 kHz,-84.219
3.162 kHz,-84.498
3.236 kHz,-84.777
3.311 kHz,-85.055
3.388 kHz,-85.333
3.467 kHz,-85.610
3.548 kHz,-85.887
3.631 kHz,-86.164
3.715 kHz,-86.440
3.802 kHz,-86.716
3.890 kHz,-86.991
3.981 kHz,-87.266
4.074 kHz,-87.541
4.169 kHz,-87.815
4.266 kHz,-88.088
4.365 kHz,-88.362
4.467 kHz,-88.634
4.571 kHz,-88.907
4.677 kHz,-89.178
4.786 kHz,-89.450
4.898 kHz,-89.721
5.012 kHz,-89.991
5.129 kHz,-90.261
5.248 kHz,-90.530
5.370 kHz,-90.799
5.495 kHz,-91.068
5.623 kHz,-91.336
5.754 kHz,-91.603
5.888 kHz,-91.870
6.026 kHz,-92.137
6.166 kHz,-92.403
6.310 kHz,-92.668
6.457 kHz,-92.933
6.607 kHz,-93.197
6.761 kHz,-93.461
6.918 kHz,-93.725
7.079 kHz,-93.987
7.244 kHz,-94.250
7.413 kHz,-94.511
7.586 kHz,-94.772
