"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real"
906.1 psec,-41.29 aV
911.1 psec,-1.293 fV
916.1 psec,-2.161 fV
921.1 psec,-2.767 fV
926.1 psec,-3.019 fV
931.1 psec,-3.021 fV
936.1 psec,-3.813 fV
941.1 psec,-5.387 fV
946.1 psec,-6.230 fV
951.1 psec,-6.114 fV
956.1 psec,-6.270 fV
961.1 psec,-6.516 fV
966.1 psec,-6.739 fV
971.1 psec,-6.962 fV
976.1 psec,-6.640 fV
981.1 psec,-6.693 fV
986.1 psec,-7.919 fV
991.1 psec,-9.182 fV
996.1 psec,-9.165 fV
1.000 nsec,-8.799 fV
1.000 nsec,-8.784 fV
1.002 nsec,-8.786 fV
1.006 nsec,-8.742 fV
1.012 nsec,-8.805 fV
1.017 nsec,-8.916 fV
1.022 nsec,-8.805 fV
1.027 nsec,-8.434 fV
1.032 nsec,-8.326 fV
1.037 nsec,-8.377 fV
1.042 nsec,-8.758 fV
1.047 nsec,-8.234 fV
1.052 nsec,-7.471 fV
1.057 nsec,-7.232 fV
1.062 nsec,-7.423 fV
1.067 nsec,-7.652 fV
1.072 nsec,-7.509 fV
1.077 nsec,-6.971 fV
1.082 nsec,-6.554 fV
1.087 nsec,-6.705 fV
1.092 nsec,-7.905 fV
1.097 nsec,-9.646 fV
1.100 nsec,-9.955 fV
1.101 nsec,-9.890 fV
1.102 nsec,-9.592 fV
1.107 nsec,-9.068 fV
1.112 nsec,-9.084 fV
1.117 nsec,-9.393 fV
1.122 nsec,-9.235 fV
1.127 nsec,-8.479 fV
1.132 nsec,-7.808 fV
1.137 nsec,-6.698 fV
1.142 nsec,-5.038 fV
1.147 nsec,-3.417 fV
1.152 nsec,-2.085 fV
1.157 nsec,-690.5 aV
1.162 nsec,1.124 fV
1.167 nsec,2.498 fV
1.172 nsec,3.503 fV
1.177 nsec,4.781 fV
1.182 nsec,6.152 fV
1.187 nsec,7.410 fV
1.192 nsec,9.229 fV
1.197 nsec,11.74 fV
1.202 nsec,13.62 fV
1.207 nsec,14.28 fV
1.212 nsec,14.09 fV
1.217 nsec,13.81 fV
1.222 nsec,13.45 fV
1.227 nsec,13.03 fV
1.232 nsec,12.67 fV
1.237 nsec,12.48 fV
1.242 nsec,11.50 fV
1.247 nsec,9.784 fV
1.252 nsec,8.292 fV
1.257 nsec,7.263 fV
1.262 nsec,5.843 fV
1.267 nsec,3.763 fV
1.272 nsec,894.0 aV
1.277 nsec,-1.344 fV
1.282 nsec,-2.557 fV
1.287 nsec,-3.633 fV
1.292 nsec,-5.086 fV
1.297 nsec,-6.126 fV
1.302 nsec,-5.864 fV
1.307 nsec,-4.299 fV
1.312 nsec,-2.963 fV
1.317 nsec,-2.419 fV
1.322 nsec,-2.469 fV
1.327 nsec,-2.747 fV
1.332 nsec,-2.794 fV
1.337 nsec,-2.513 fV
1.342 nsec,-2.587 fV
1.347 nsec,-3.197 fV
1.352 nsec,-3.911 fV
1.357 nsec,-4.540 fV
1.362 nsec,-4.487 fV
1.367 nsec,-4.241 fV
1.372 nsec,-4.524 fV
1.377 nsec,-5.165 fV
1.382 nsec,-5.858 fV
1.387 nsec,-6.729 fV
1.392 nsec,-8.143 fV
1.397 nsec,-9.334 fV
1.402 nsec,-9.525 fV
1.407 nsec,-8.702 fV
1.412 nsec,-7.763 fV
1.417 nsec,-7.380 fV
1.422 nsec,-7.570 fV
1.427 nsec,-7.264 fV
1.432 nsec,-6.402 fV
1.437 nsec,-5.819 fV
1.442 nsec,-6.269 fV
1.447 nsec,-7.370 fV
1.452 nsec,-7.958 fV
1.457 nsec,-8.001 fV
1.462 nsec,-8.289 fV
1.467 nsec,-7.885 fV
1.472 nsec,-7.189 fV
1.477 nsec,-6.595 fV
1.482 nsec,-5.527 fV
1.487 nsec,-3.589 fV
1.492 nsec,-1.244 fV
1.497 nsec,1.179 fV
1.502 nsec,3.424 fV
1.507 nsec,4.973 fV
1.512 nsec,6.111 fV
1.517 nsec,7.388 fV
1.522 nsec,8.316 fV
1.527 nsec,8.323 fV
1.532 nsec,8.242 fV
1.537 nsec,8.813 fV
1.542 nsec,9.371 fV
1.547 nsec,9.483 fV
1.552 nsec,9.977 fV
1.557 nsec,10.71 fV
1.562 nsec,11.18 fV
1.567 nsec,11.33 fV
1.572 nsec,11.19 fV
1.577 nsec,10.72 fV
1.582 nsec,9.150 fV
1.587 nsec,7.239 fV
1.592 nsec,5.369 fV
1.597 nsec,3.678 fV
1.602 nsec,2.691 fV
1.607 nsec,2.354 fV
1.612 nsec,1.728 fV
1.617 nsec,46.64 aV
1.622 nsec,-2.224 fV
1.627 nsec,-4.551 fV
1.632 nsec,-6.360 fV
1.637 nsec,-7.439 fV
1.642 nsec,-8.171 fV
1.647 nsec,-9.213 fV
1.652 nsec,-10.72 fV
1.657 nsec,-12.60 fV
1.662 nsec,-13.93 fV
1.667 nsec,-13.93 fV
1.672 nsec,-13.40 fV
1.677 nsec,-13.12 fV
1.682 nsec,-12.43 fV
1.687 nsec,-11.30 fV
1.692 nsec,-10.25 fV
1.697 nsec,-8.652 fV
1.702 nsec,-6.678 fV
