"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.976 GHz,50.906
2.977 GHz,0.000
2.977 GHz,0.000
2.978 GHz,30.932
2.978 GHz,-90.000
2.978 GHz,-115.989
2.979 GHz,0.000
2.979 GHz,0.000
2.980 GHz,57.995
2.981 GHz,-8.823
2.981 GHz,0.000
2.982 GHz,0.000
2.982 GHz,-94.764
2.982 GHz,26.565
2.983 GHz,0.000
2.983 GHz,-17.969
2.984 GHz,0.000
2.985 GHz,-153.435
2.985 GHz,0.000
2.986 GHz,0.000
2.986 GHz,-90.000
2.986 GHz,-9.211
2.987 GHz,0.000
2.987 GHz,0.000
2.988 GHz,0.000
2.989 GHz,-131.186
2.989 GHz,-33.690
2.990 GHz,-90.000
2.990 GHz,10.305
2.990 GHz,180.000
2.991 GHz,-63.435
2.991 GHz,-75.964
2.992 GHz,-75.964
2.993 GHz,0.000
2.993 GHz,0.000
2.994 GHz,-22.834
2.994 GHz,0.000
2.994 GHz,-53.130
2.995 GHz,75.964
2.995 GHz,-37.304
2.996 GHz,-20.556
2.997 GHz,-48.705
2.997 GHz,75.964
2.998 GHz,-71.565
2.998 GHz,<invalid>
2.998 GHz,0.000
2.999 GHz,53.130
2.999 GHz,-90.000
3.000 GHz,6.613
3.001 GHz,-47.121
3.001 GHz,<invalid>
3.002 GHz,-90.000
3.002 GHz,-40.601
3.002 GHz,<invalid>
3.003 GHz,-19.440
3.003 GHz,-10.305
3.004 GHz,-28.072
3.005 GHz,45.000
3.005 GHz,30.964
3.006 GHz,-4.764
3.006 GHz,-90.000
3.006 GHz,33.690
3.007 GHz,-101.310
3.007 GHz,116.565
3.008 GHz,-116.565
3.009 GHz,-47.121
3.009 GHz,-26.565
3.010 GHz,29.055
3.010 GHz,-12.724
3.010 GHz,-90.000
3.011 GHz,180.000
3.011 GHz,180.000
3.012 GHz,-26.565
3.013 GHz,41.634
3.013 GHz,0.000
3.014 GHz,18.435
3.014 GHz,0.000
3.014 GHz,0.000
3.015 GHz,-90.000
3.015 GHz,0.000
3.016 GHz,18.435
3.017 GHz,-56.889
3.017 GHz,-14.036
3.018 GHz,0.000
3.018 GHz,<invalid>
3.018 GHz,-45.000
3.019 GHz,0.000
3.019 GHz,26.565
3.020 GHz,90.000
3.021 GHz,-12.529
3.021 GHz,18.435
3.022 GHz,45.000
3.022 GHz,-45.000
3.022 GHz,-63.435
3.023 GHz,-24.624
3.023 GHz,-98.130
3.024 GHz,90.000
3.025 GHz,<invalid>
3.025 GHz,-53.130
3.026 GHz,-26.565
3.026 GHz,8.130
3.026 GHz,45.000
3.027 GHz,-71.565
3.027 GHz,-45.000
3.028 GHz,-26.565
3.029 GHz,0.000
3.029 GHz,-90.000
3.030 GHz,-18.435
3.030 GHz,-135.000
3.030 GHz,-45.000
3.031 GHz,-97.125
3.031 GHz,<invalid>
3.032 GHz,45.000
3.033 GHz,18.435
3.033 GHz,0.000
3.034 GHz,26.565
3.034 GHz,11.310
3.034 GHz,-4.764
3.035 GHz,180.000
3.035 GHz,18.435
3.036 GHz,116.565
3.037 GHz,-102.095
3.037 GHz,-161.565
3.038 GHz,-55.491
3.038 GHz,18.435
3.038 GHz,97.125
3.039 GHz,45.000
3.039 GHz,0.000
3.040 GHz,26.565
3.041 GHz,-47.726
3.041 GHz,-13.109
3.042 GHz,-37.875
3.042 GHz,-4.865
3.042 GHz,-32.905
3.043 GHz,45.000
3.043 GHz,0.000
3.044 GHz,-32.471
3.045 GHz,147.529
3.045 GHz,15.255
3.046 GHz,-8.807
3.046 GHz,45.000
3.046 GHz,-143.130
3.047 GHz,2.603
3.047 GHz,18.435
3.048 GHz,65.225
3.049 GHz,54.462
3.049 GHz,-165.964
3.050 GHz,11.535
3.050 GHz,-23.199
3.050 GHz,13.392
3.051 GHz,158.199
3.051 GHz,-135.764
3.052 GHz,-14.036
3.053 GHz,71.565
3.053 GHz,-45.000
3.054 GHz,-25.346
3.054 GHz,-51.499
3.054 GHz,9.638
3.055 GHz,0.000
3.055 GHz,0.000
3.056 GHz,30.548
3.057 GHz,30.964
3.057 GHz,-138.180
3.058 GHz,110.225
3.058 GHz,111.161
3.058 GHz,-44.421
3.059 GHz,180.000
3.059 GHz,-29.745
3.060 GHz,-81.870
3.061 GHz,109.654
3.061 GHz,7.696
3.062 GHz,-33.690
3.062 GHz,116.565
3.062 GHz,21.801
3.063 GHz,59.036
3.063 GHz,73.686
3.064 GHz,-56.310
3.064 GHz,0.000
3.065 GHz,-110.854
3.066 GHz,-71.565
3.066 GHz,-4.764
3.067 GHz,0.000
3.067 GHz,-0.843
3.067 GHz,75.964
3.068 GHz,12.995
3.068 GHz,26.565
3.069 GHz,16.504
3.070 GHz,3.395
3.070 GHz,-13.314
3.071 GHz,106.390
3.071 GHz,-143.130
3.071 GHz,144.462
3.072 GHz,0.000
3.072 GHz,-14.036
3.073 GHz,-25.346
3.074 GHz,164.745
3.074 GHz,-31.535
3.075 GHz,-126.682
3.075 GHz,-18.802
3.075 GHz,169.240
3.076 GHz,18.435
3.076 GHz,-37.405
3.077 GHz,11.310
3.078 GHz,144.162
3.078 GHz,-99.462
3.079 GHz,-142.496
3.079 GHz,9.096
3.079 GHz,-5.194
3.080 GHz,-9.280
3.080 GHz,-137.386
3.081 GHz,-77.276
3.082 GHz,-95.042
3.082 GHz,-0.613
3.083 GHz,176.286
3.083 GHz,-10.668
3.083 GHz,-2.194
3.084 GHz,-81.545
3.084 GHz,-1.944
3.085 GHz,151.314
3.086 GHz,-173.187
3.086 GHz,-3.944
3.087 GHz,121.154
3.087 GHz,-3.720
3.087 GHz,-54.306
3.088 GHz,43.781
3.088 GHz,-65.783
3.089 GHz,7.765
3.090 GHz,79.380
3.090 GHz,-12.680
3.091 GHz,132.178
3.091 GHz,176.934
3.091 GHz,33.690
3.092 GHz,-13.707
3.092 GHz,4.574
3.093 GHz,-125.074
3.094 GHz,-102.339
3.094 GHz,103.241
3.095 GHz,155.344
3.095 GHz,144.866
3.095 GHz,-124.968
3.096 GHz,-165.343
3.096 GHz,-84.806
3.097 GHz,56.505
3.098 GHz,19.983
3.098 GHz,-153.435
3.099 GHz,-154.440
3.099 GHz,-7.943
3.099 GHz,-158.839
3.100 GHz,-1.937
