"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
936.1 psec,0.0000 V
941.1 psec,0.0000 V
946.1 psec,0.0000 V
951.1 psec,0.0000 V
956.1 psec,0.0000 V
961.1 psec,0.0000 V
966.1 psec,0.0000 V
971.1 psec,0.0000 V
976.1 psec,0.0000 V
981.1 psec,0.0000 V
986.1 psec,0.0000 V
991.1 psec,0.0000 V
996.1 psec,0.0000 V
1.000 nsec,0.0000 V
1.000 nsec,81.79 nV
1.002 nsec,665.4 nV
1.005 nsec,4.088 uV
1.010 nsec,11.32 uV
1.015 nsec,22.62 uV
1.020 nsec,35.62 uV
1.025 nsec,49.57 uV
1.030 nsec,64.02 uV
1.035 nsec,78.69 uV
1.040 nsec,93.48 uV
1.045 nsec,108.4 uV
1.050 nsec,123.5 uV
1.055 nsec,139.0 uV
1.060 nsec,155.1 uV
1.065 nsec,171.7 uV
1.070 nsec,189.1 uV
1.075 nsec,207.4 uV
1.080 nsec,226.6 uV
1.085 nsec,246.7 uV
1.090 nsec,267.9 uV
1.095 nsec,290.1 uV
1.100 nsec,315.2 uV
1.101 nsec,317.5 uV
1.102 nsec,324.0 uV
1.107 nsec,341.1 uV
1.112 nsec,356.8 uV
1.117 nsec,371.0 uV
1.122 nsec,384.7 uV
1.127 nsec,398.6 uV
1.132 nsec,413.1 uV
1.137 nsec,428.4 uV
1.142 nsec,444.7 uV
1.147 nsec,461.9 uV
1.152 nsec,480.0 uV
1.157 nsec,499.0 uV
1.162 nsec,518.8 uV
1.167 nsec,539.3 uV
1.172 nsec,560.5 uV
1.177 nsec,582.4 uV
1.182 nsec,605.0 uV
1.187 nsec,628.2 uV
1.192 nsec,652.0 uV
1.197 nsec,676.5 uV
1.202 nsec,701.7 uV
1.207 nsec,727.6 uV
1.212 nsec,754.2 uV
1.217 nsec,781.6 uV
1.222 nsec,809.6 uV
1.227 nsec,838.4 uV
1.232 nsec,867.8 uV
1.237 nsec,897.9 uV
1.242 nsec,928.5 uV
1.247 nsec,959.8 uV
1.252 nsec,991.6 uV
1.257 nsec,1.024 mV
1.262 nsec,1.057 mV
1.267 nsec,1.090 mV
1.272 nsec,1.123 mV
1.277 nsec,1.157 mV
1.282 nsec,1.192 mV
1.287 nsec,1.227 mV
1.292 nsec,1.262 mV
1.297 nsec,1.297 mV
1.302 nsec,1.334 mV
1.307 nsec,1.370 mV
1.312 nsec,1.408 mV
1.317 nsec,1.445 mV
1.322 nsec,1.483 mV
1.327 nsec,1.522 mV
1.332 nsec,1.562 mV
1.337 nsec,1.602 mV
1.342 nsec,1.642 mV
1.347 nsec,1.683 mV
1.352 nsec,1.724 mV
1.357 nsec,1.766 mV
1.362 nsec,1.809 mV
1.367 nsec,1.851 mV
