"freq
References : ['dB(Z(1,1))','dB(Z(2,2))']
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(1,1))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(2,2))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real"
109.5 MHz,61.455,61.614
109.5 MHz,61.451,61.610
109.5 MHz,61.447,61.606
109.6 MHz,61.444,61.602
109.7 MHz,61.440,61.598
109.7 MHz,61.436,61.594
109.8 MHz,61.432,61.590
109.8 MHz,61.428,61.587
109.8 MHz,61.425,61.583
109.9 MHz,61.421,61.579
110.0 MHz,61.417,61.575
110.0 MHz,61.413,61.571
110.0 MHz,61.409,61.567
110.1 MHz,61.406,61.563
110.2 MHz,61.402,61.559
110.2 MHz,61.398,61.555
110.2 MHz,61.394,61.551
110.3 MHz,61.390,61.547
110.3 MHz,61.386,61.543
110.4 MHz,61.382,61.539
110.5 MHz,61.379,61.535
110.5 MHz,61.375,61.531
110.5 MHz,61.371,61.527
110.6 MHz,61.367,61.523
110.7 MHz,61.363,61.520
110.7 MHz,61.359,61.516
110.8 MHz,61.355,61.512
110.8 MHz,61.352,61.508
110.8 MHz,61.348,61.504
110.9 MHz,61.344,61.500
111.0 MHz,61.340,61.496
111.0 MHz,61.336,61.492
111.0 MHz,61.332,61.488
111.1 MHz,61.329,61.484
111.2 MHz,61.325,61.480
111.2 MHz,61.321,61.476
111.2 MHz,61.317,61.473
111.3 MHz,61.313,61.469
111.3 MHz,61.309,61.465
111.4 MHz,61.306,61.461
111.5 MHz,61.302,61.457
111.5 MHz,61.298,61.453
111.5 MHz,61.294,61.449
111.6 MHz,61.290,61.445
111.7 MHz,61.286,61.441
111.7 MHz,61.283,61.437
111.8 MHz,61.279,61.434
111.8 MHz,61.275,61.430
111.8 MHz,61.271,61.426
111.9 MHz,61.267,61.422
112.0 MHz,61.264,61.418
112.0 MHz,61.260,61.414
112.0 MHz,61.256,61.410
112.1 MHz,61.252,61.406
112.2 MHz,61.248,61.403
112.2 MHz,61.245,61.399
112.2 MHz,61.241,61.395
112.3 MHz,61.237,61.391
112.3 MHz,61.233,61.387
112.4 MHz,61.229,61.383
112.5 MHz,61.226,61.379
112.5 MHz,61.222,61.375
112.5 MHz,61.218,61.372
112.6 MHz,61.214,61.368
112.7 MHz,61.211,61.364
112.7 MHz,61.207,61.360
112.8 MHz,61.203,61.356
112.8 MHz,61.199,61.352
112.8 MHz,61.195,61.348
112.9 MHz,61.192,61.345
113.0 MHz,61.188,61.341
113.0 MHz,61.184,61.337
113.0 MHz,61.180,61.333
113.1 MHz,61.177,61.329
113.2 MHz,61.173,61.325
113.2 MHz,61.169,61.322
113.2 MHz,61.165,61.318
113.3 MHz,61.162,61.314
113.3 MHz,61.158,61.310
113.4 MHz,61.154,61.306
113.5 MHz,61.150,61.302
113.5 MHz,61.146,61.299
113.5 MHz,61.143,61.295
113.6 MHz,61.139,61.291
113.7 MHz,61.135,61.287
113.7 MHz,61.131,61.283
113.8 MHz,61.128,61.279
113.8 MHz,61.124,61.276
113.8 MHz,61.120,61.272
113.9 MHz,61.117,61.268
114.0 MHz,61.113,61.264
114.0 MHz,61.109,61.260
114.0 MHz,61.105,61.257
114.1 MHz,61.102,61.253
114.2 MHz,61.098,61.249
114.2 MHz,61.094,61.245
114.2 MHz,61.090,61.241
114.3 MHz,61.087,61.238
114.3 MHz,61.083,61.234
114.4 MHz,61.079,61.230
114.5 MHz,61.075,61.226
114.5 MHz,61.072,61.222
114.5 MHz,61.068,61.219
114.6 MHz,61.064,61.215
114.7 MHz,61.061,61.211
114.7 MHz,61.057,61.207
114.8 MHz,61.053,61.203
114.8 MHz,61.049,61.200
114.8 MHz,61.046,61.196
114.9 MHz,61.042,61.192
115.0 MHz,61.038,61.188
115.0 MHz,61.035,61.184
115.0 MHz,61.031,61.181
115.1 MHz,61.027,61.177
115.2 MHz,61.023,61.173
115.2 MHz,61.020,61.169
115.2 MHz,61.016,61.166
115.3 MHz,61.012,61.162
115.3 MHz,61.009,61.158
115.4 MHz,61.005,61.154
115.5 MHz,61.001,61.151
115.5 MHz,60.998,61.147
115.5 MHz,60.994,61.143
115.6 MHz,60.990,61.139
115.7 MHz,60.987,61.135
115.7 MHz,60.983,61.132
115.8 MHz,60.979,61.128
115.8 MHz,60.975,61.124
115.8 MHz,60.972,61.120
115.9 MHz,60.968,61.117
116.0 MHz,60.964,61.113
116.0 MHz,60.961,61.109
116.0 MHz,60.957,61.105
116.1 MHz,60.953,61.102
116.2 MHz,60.950,61.098
116.2 MHz,60.946,61.094
116.2 MHz,60.942,61.091
116.3 MHz,60.939,61.087
116.3 MHz,60.935,61.083
116.4 MHz,60.931,61.079
116.5 MHz,60.928,61.076
116.5 MHz,60.924,61.072
116.5 MHz,60.920,61.068
116.6 MHz,60.917,61.064
116.7 MHz,60.913,61.061
116.7 MHz,60.909,61.057
116.8 MHz,60.906,61.053
116.8 MHz,60.902,61.050
116.8 MHz,60.899,61.046
116.9 MHz,60.895,61.042
117.0 MHz,60.891,61.038
117.0 MHz,60.888,61.035
117.0 MHz,60.884,61.031
117.1 MHz,60.880,61.027
117.2 MHz,60.877,61.024
117.2 MHz,60.873,61.020
117.2 MHz,60.869,61.016
117.3 MHz,60.866,61.012
117.3 MHz,60.862,61.009
117.4 MHz,60.858,61.005
117.5 MHz,60.855,61.001
117.5 MHz,60.851,60.998
117.5 MHz,60.848,60.994
117.6 MHz,60.844,60.990
117.7 MHz,60.840,60.987
117.7 MHz,60.837,60.983
117.8 MHz,60.833,60.979
117.8 MHz,60.829,60.975
117.8 MHz,60.826,60.972
117.9 MHz,60.822,60.968
118.0 MHz,60.819,60.964
118.0 MHz,60.815,60.961
118.0 MHz,60.811,60.957
118.1 MHz,60.808,60.953
118.2 MHz,60.804,60.950
118.2 MHz,60.801,60.946
118.2 MHz,60.797,60.942
118.3 MHz,60.793,60.939
118.3 MHz,60.790,60.935
118.4 MHz,60.786,60.931
118.5 MHz,60.783,60.928
118.5 MHz,60.779,60.924
118.5 MHz,60.775,60.920
118.6 MHz,60.772,60.917
118.7 MHz,60.768,60.913
118.7 MHz,60.765,60.909
118.8 MHz,60.761,60.906
118.8 MHz,60.757,60.902
118.8 MHz,60.754,60.898
118.9 MHz,60.750,60.895
119.0 MHz,60.747,60.891
119.0 MHz,60.743,60.887
119.0 MHz,60.739,60.884
119.1 MHz,60.736,60.880
119.2 MHz,60.732,60.876
119.2 MHz,60.729,60.873
119.2 MHz,60.725,60.869
119.3 MHz,60.722,60.865
119.3 MHz,60.718,60.862
119.4 MHz,60.714,60.858
119.5 MHz,60.711,60.855
119.5 MHz,60.707,60.851
119.5 MHz,60.704,60.847
119.6 MHz,60.700,60.844
119.7 MHz,60.697,60.840
119.7 MHz,60.693,60.836
119.8 MHz,60.689,60.833
119.8 MHz,60.686,60.829
119.8 MHz,60.682,60.826
119.9 MHz,60.679,60.822
120.0 MHz,60.675,60.818
120.0 MHz,60.672,60.815
120.0 MHz,60.668,60.811
120.1 MHz,60.664,60.807
120.2 MHz,60.661,60.804
120.2 MHz,60.657,60.800
120.2 MHz,60.654,60.797
120.3 MHz,60.650,60.793
120.3 MHz,60.646,60.789
120.4 MHz,60.643,60.786
120.5 MHz,60.639,60.782
120.5 MHz,60.635,60.779
120.5 MHz,60.632,60.775
120.6 MHz,60.628,60.771
120.7 MHz,60.625,60.768
120.7 MHz,60.621,60.764
120.8 MHz,60.617,60.761
120.8 MHz,60.614,60.757
120.8 MHz,60.610,60.753
120.9 MHz,60.607,60.750
121.0 MHz,60.603,60.746
121.0 MHz,60.599,60.743
121.0 MHz,60.596,60.739
121.1 MHz,60.592,60.735
121.2 MHz,60.589,60.732
121.2 MHz,60.585,60.728
121.2 MHz,60.582,60.725
121.3 MHz,60.578,60.721
121.3 MHz,60.574,60.717
121.4 MHz,60.571,60.714
121.5 MHz,60.567,60.710
121.5 MHz,60.564,60.707
121.5 MHz,60.560,60.703
121.6 MHz,60.556,60.700
121.7 MHz,60.553,60.696
121.7 MHz,60.549,60.692
121.8 MHz,60.546,60.689
121.8 MHz,60.542,60.685
121.8 MHz,60.539,60.682
121.9 MHz,60.535,60.678
122.0 MHz,60.532,60.675
122.0 MHz,60.528,60.671
122.0 MHz,60.524,60.667
122.1 MHz,60.521,60.664
122.2 MHz,60.517,60.660
122.2 MHz,60.514,60.657
122.2 MHz,60.510,60.653
122.3 MHz,60.507,60.650
122.3 MHz,60.503,60.646
122.4 MHz,60.499,60.643
