"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.066 GHz,-144.538
1.067 GHz,-144.501
1.067 GHz,-144.464
1.067 GHz,-144.428
1.067 GHz,-144.392
1.068 GHz,-144.357
1.068 GHz,-144.321
1.068 GHz,-144.287
1.069 GHz,-144.253
1.069 GHz,-144.219
1.069 GHz,-144.186
1.069 GHz,-144.154
1.070 GHz,-144.122
1.070 GHz,-144.091
1.070 GHz,-144.061
1.071 GHz,-144.030
1.071 GHz,-144.001
1.071 GHz,-143.971
1.071 GHz,-143.942
1.072 GHz,-143.914
1.072 GHz,-143.885
1.072 GHz,-143.857
1.073 GHz,-143.830
1.073 GHz,-143.802
1.073 GHz,-143.775
1.073 GHz,-143.748
1.074 GHz,-143.722
1.074 GHz,-143.695
1.074 GHz,-143.669
1.075 GHz,-143.643
1.075 GHz,-143.617
1.075 GHz,-143.592
1.075 GHz,-143.566
1.076 GHz,-143.541
1.076 GHz,-143.516
1.076 GHz,-143.491
1.077 GHz,-143.467
1.077 GHz,-143.442
1.077 GHz,-143.418
1.077 GHz,-143.393
1.078 GHz,-143.369
1.078 GHz,-143.345
1.078 GHz,-143.321
1.078 GHz,-143.297
1.079 GHz,-143.273
1.079 GHz,-143.249
1.079 GHz,-143.225
1.080 GHz,-143.201
1.080 GHz,-143.177
1.080 GHz,-143.153
1.080 GHz,-143.130
1.081 GHz,-143.107
1.081 GHz,-143.084
1.081 GHz,-143.061
1.082 GHz,-143.039
1.082 GHz,-143.016
1.082 GHz,-142.995
1.082 GHz,-142.973
1.083 GHz,-142.951
1.083 GHz,-142.930
1.083 GHz,-142.909
1.084 GHz,-142.888
1.084 GHz,-142.867
1.084 GHz,-142.846
1.084 GHz,-142.825
1.085 GHz,-142.804
1.085 GHz,-142.783
1.085 GHz,-142.763
1.085 GHz,-142.742
1.086 GHz,-142.721
1.086 GHz,-142.700
1.086 GHz,-142.680
1.087 GHz,-142.659
1.087 GHz,-142.638
1.087 GHz,-142.617
1.087 GHz,-142.595
1.088 GHz,-142.574
1.088 GHz,-142.553
1.088 GHz,-142.531
1.089 GHz,-142.509
1.089 GHz,-142.487
1.089 GHz,-142.465
1.089 GHz,-142.442
1.090 GHz,-142.419
1.090 GHz,-142.396
1.090 GHz,-142.373
1.091 GHz,-142.349
1.091 GHz,-142.326
1.091 GHz,-142.302
1.091 GHz,-142.278
1.092 GHz,-142.254
1.092 GHz,-142.230
1.092 GHz,-142.206
1.093 GHz,-142.182
1.093 GHz,-142.158
1.093 GHz,-142.133
1.093 GHz,-142.109
1.094 GHz,-142.084
1.094 GHz,-142.060
1.094 GHz,-142.035
1.095 GHz,-142.010
1.095 GHz,-141.985
1.095 GHz,-141.960
1.095 GHz,-141.935
1.096 GHz,-141.910
1.096 GHz,-141.885
1.096 GHz,-141.860
1.096 GHz,-141.835
1.097 GHz,-141.809
1.097 GHz,-141.784
1.097 GHz,-141.759
1.098 GHz,-141.733
1.098 GHz,-141.708
1.098 GHz,-141.683
1.098 GHz,-141.657
1.099 GHz,-141.632
1.099 GHz,-141.606
1.099 GHz,-141.581
1.100 GHz,-141.555
1.100 GHz,-141.530
1.100 GHz,-141.504
1.100 GHz,-141.478
1.101 GHz,-141.453
1.101 GHz,-141.427
1.101 GHz,-141.401
