"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.975 GHz,0.000
2.975 GHz,-79.380
2.976 GHz,9.211
2.977 GHz,-3.417
2.977 GHz,0.000
2.978 GHz,<invalid>
2.978 GHz,-57.995
2.978 GHz,17.969
2.979 GHz,0.000
2.979 GHz,0.000
2.980 GHz,-57.995
2.981 GHz,-3.318
2.981 GHz,0.000
2.982 GHz,0.000
2.982 GHz,0.000
2.982 GHz,57.995
2.983 GHz,-69.444
2.983 GHz,0.000
2.984 GHz,-27.867
2.985 GHz,0.000
2.985 GHz,53.130
2.986 GHz,90.000
2.986 GHz,<invalid>
2.986 GHz,180.000
2.987 GHz,0.000
2.987 GHz,<invalid>
2.988 GHz,0.000
2.989 GHz,180.000
2.989 GHz,13.431
2.990 GHz,-63.435
2.990 GHz,15.945
2.990 GHz,45.000
2.991 GHz,0.000
2.991 GHz,37.875
2.992 GHz,14.036
2.993 GHz,63.435
2.993 GHz,-90.000
2.994 GHz,-104.036
2.994 GHz,-45.000
2.994 GHz,0.000
2.995 GHz,11.310
2.995 GHz,45.000
2.996 GHz,180.000
2.997 GHz,12.095
2.997 GHz,<invalid>
2.998 GHz,<invalid>
2.998 GHz,-75.964
2.998 GHz,-36.870
2.999 GHz,26.565
2.999 GHz,-26.565
3.000 GHz,180.000
3.001 GHz,0.000
3.001 GHz,0.000
3.002 GHz,26.565
3.002 GHz,0.000
3.002 GHz,0.000
3.003 GHz,0.000
3.003 GHz,<invalid>
3.004 GHz,0.000
3.005 GHz,0.000
3.005 GHz,-54.462
3.006 GHz,0.000
3.006 GHz,66.801
3.006 GHz,-12.529
3.007 GHz,-65.556
3.007 GHz,26.565
3.008 GHz,-25.346
3.009 GHz,0.000
3.009 GHz,0.000
3.010 GHz,0.000
3.010 GHz,18.435
3.010 GHz,180.000
3.011 GHz,-4.399
3.011 GHz,-11.310
3.012 GHz,8.130
3.013 GHz,-15.255
3.013 GHz,18.435
3.014 GHz,<invalid>
3.014 GHz,0.000
3.014 GHz,90.000
3.015 GHz,-71.565
3.015 GHz,3.180
3.016 GHz,-19.440
