"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
936.1 psec,0.0000 V
941.1 psec,0.0000 V
946.1 psec,0.0000 V
951.1 psec,0.0000 V
956.1 psec,0.0000 V
961.1 psec,0.0000 V
966.1 psec,0.0000 V
971.1 psec,0.0000 V
976.1 psec,0.0000 V
981.1 psec,0.0000 V
986.1 psec,0.0000 V
991.1 psec,0.0000 V
996.1 psec,0.0000 V
1.000 nsec,0.0000 V
1.000 nsec,72.38 nV
1.002 nsec,590.6 nV
1.006 nsec,4.770 uV
1.011 nsec,13.18 uV
1.016 nsec,23.79 uV
1.021 nsec,35.58 uV
1.026 nsec,47.98 uV
1.031 nsec,60.64 uV
1.036 nsec,73.36 uV
1.041 nsec,86.03 uV
1.046 nsec,98.68 uV
1.051 nsec,111.4 uV
1.056 nsec,124.4 uV
1.061 nsec,137.6 uV
1.066 nsec,151.2 uV
1.071 nsec,165.2 uV
1.076 nsec,179.8 uV
1.081 nsec,194.9 uV
1.086 nsec,210.6 uV
1.091 nsec,226.8 uV
1.096 nsec,243.6 uV
1.100 nsec,256.3 uV
1.101 nsec,258.0 uV
1.102 nsec,262.7 uV
1.107 nsec,274.2 uV
1.112 nsec,283.9 uV
1.117 nsec,291.8 uV
1.122 nsec,298.8 uV
1.127 nsec,305.7 uV
1.132 nsec,312.6 uV
1.137 nsec,319.9 uV
1.142 nsec,327.6 uV
1.147 nsec,335.8 uV
1.152 nsec,344.4 uV
1.157 nsec,353.4 uV
1.162 nsec,362.6 uV
1.167 nsec,372.2 uV
1.172 nsec,382.0 uV
1.177 nsec,392.1 uV
1.182 nsec,402.3 uV
1.187 nsec,412.8 uV
1.192 nsec,423.5 uV
1.197 nsec,434.4 uV
1.202 nsec,445.6 uV
1.207 nsec,457.1 uV
1.212 nsec,468.8 uV
1.217 nsec,480.9 uV
1.222 nsec,493.2 uV
1.227 nsec,505.9 uV
1.232 nsec,518.9 uV
1.237 nsec,532.1 uV
1.242 nsec,545.6 uV
1.247 nsec,559.3 uV
1.252 nsec,573.1 uV
1.257 nsec,587.1 uV
1.262 nsec,601.3 uV
1.267 nsec,615.6 uV
1.272 nsec,629.9 uV
1.277 nsec,644.4 uV
1.282 nsec,659.0 uV
1.287 nsec,673.7 uV
1.292 nsec,688.5 uV
1.297 nsec,703.5 uV
1.302 nsec,718.7 uV
1.307 nsec,734.1 uV
1.312 nsec,749.8 uV
1.317 nsec,765.7 uV
1.322 nsec,781.8 uV
1.327 nsec,798.3 uV
1.332 nsec,815.1 uV
1.337 nsec,832.2 uV
1.342 nsec,849.5 uV
1.347 nsec,867.2 uV
1.352 nsec,885.1 uV
1.357 nsec,903.3 uV
1.362 nsec,921.8 uV
1.367 nsec,940.5 uV
