"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.000,420.7 psec,-872.8 uV
5.000,423.7 psec,7.052 mV
5.000,426.7 psec,15.71 mV
5.000,429.7 psec,25.07 mV
5.000,432.7 psec,35.06 mV
5.000,435.7 psec,45.61 mV
5.000,438.7 psec,56.61 mV
5.000,441.7 psec,67.94 mV
5.000,444.7 psec,79.46 mV
5.000,447.7 psec,91.00 mV
5.000,450.7 psec,102.4 mV
5.000,453.7 psec,113.4 mV
5.000,456.7 psec,123.9 mV
5.000,459.7 psec,133.7 mV
5.000,462.7 psec,142.4 mV
5.000,465.7 psec,150.1 mV
5.000,468.7 psec,156.4 mV
5.000,471.7 psec,161.3 mV
5.000,474.7 psec,164.6 mV
5.000,477.7 psec,166.3 mV
5.000,480.7 psec,166.3 mV
5.000,483.7 psec,164.6 mV
5.000,486.8 psec,161.3 mV
5.000,489.8 psec,156.5 mV
5.000,492.8 psec,150.1 mV
5.000,495.8 psec,142.5 mV
5.000,498.8 psec,133.8 mV
5.000,501.8 psec,124.0 mV
5.000,504.8 psec,113.5 mV
5.000,507.8 psec,102.4 mV
5.000,510.8 psec,90.93 mV
5.000,513.8 psec,79.28 mV
5.000,516.8 psec,67.65 mV
5.000,519.8 psec,56.21 mV
5.000,522.8 psec,45.14 mV
5.000,525.8 psec,34.58 mV
5.000,528.8 psec,24.67 mV
5.000,531.8 psec,15.51 mV
5.000,534.8 psec,7.176 mV
5.000,537.8 psec,-269.1 uV
5.000,540.8 psec,-6.802 mV
5.000,543.8 psec,-12.42 mV
5.000,546.8 psec,-17.16 mV
5.000,549.9 psec,-21.07 mV
5.000,552.9 psec,-24.22 mV
5.000,555.9 psec,-26.70 mV
5.000,558.9 psec,-28.62 mV
5.000,561.9 psec,-30.08 mV
5.000,564.9 psec,-31.22 mV
5.000,567.9 psec,-32.15 mV
5.000,570.9 psec,-32.98 mV
5.000,573.9 psec,-33.83 mV
5.000,576.9 psec,-34.78 mV
5.000,579.9 psec,-35.93 mV
5.000,582.9 psec,-37.34 mV
5.000,585.9 psec,-39.07 mV
5.000,588.9 psec,-41.15 mV
5.000,591.9 psec,-43.61 mV
5.000,594.9 psec,-46.45 mV
5.000,597.9 psec,-49.66 mV
5.000,600.9 psec,-53.21 mV
5.000,603.9 psec,-57.05 mV
5.000,606.9 psec,-61.12 mV
5.000,609.9 psec,-65.35 mV
5.000,613.0 psec,-69.64 mV
5.000,616.0 psec,-73.91 mV
5.000,619.0 psec,-78.04 mV
5.000,622.0 psec,-81.91 mV
5.000,625.0 psec,-85.43 mV
5.000,628.0 psec,-88.48 mV
5.000,631.0 psec,-90.98 mV
5.000,634.0 psec,-92.84 mV
5.000,637.0 psec,-94.01 mV
5.000,640.0 psec,-94.44 mV
5.000,643.0 psec,-94.14 mV
